tick101, ev003, fred, 20230802, 0
tick102, ev002, gio, 20230803, 2
tick103, ev003, emad, 20230802, 4
tick104, ev001, ali, 20230802, 4
tick105, ev002, rana, 20230722, 1
tick106, ev002, john, 20230703, 3
tick107, ev001, rewa, 20230703, 1
tick108, ev002, gio, 20230703, 2
tick109, ev001, emad, 20230801, 9
tick110, ev012, hanin, 20230803, 2
tick111, ev012, hanin, 20230804, 2
tick112, ev012, hanin, 20230805, 2
tick113, ev012, hanin, 20230802, 2
tick114, ev012, hanin, 20230803, 2
tick115, ev012, hanin, 20230804, 2
tick116, ev012, hanin, 20230805, 2
tick117, ev012, hanin, 20230806, 2
